B1,B2,B3,B4,B5,B6,B7,FAPAR,LAI
0.02607,0.046685,0.012422,0.022914,0.031529,0.025525,0.011245,0.0113102,0.10518
0.065701,0.13235,0.034968,0.059217,0.14692,0.14939,0.11727,0.0959024,0.57174
0.04923,0.064816,0.024802,0.038905,0.078914,0.089754,0.079933,0.00517132,0.047754
0.10868,0.16796,0.052607,0.091625,0.18166,0.17494,0.11729,0.0204501,0.10023
0.034553,0.074708,0.015868,0.030703,0.077232,0.06481,0.036211,0.0291478,0.18036
0.061336,0.11515,0.033231,0.051263,0.12546,0.12184,0.0938,0.0698236,0.4522
0.048024,0.12677,0.024211,0.046682,0.12115,0.10089,0.062794,0.101211,0.80694
0.064876,0.099008,0.03376,0.054168,0.11308,0.12041,0.1033,0.0291566,0.13646
0.15712,0.22293,0.077972,0.12476,0.25384,0.27625,0.23581,0.0998074,0.68009
0.044448,0.07047,0.022242,0.039115,0.055096,0.051609,0.031605,0.00227117,0.017427
0.035629,0.1909,0.015628,0.0473,0.16574,0.093249,0.033706,0.270666,1.9696
0.047965,0.12317,0.023808,0.045466,0.11435,0.081061,0.040879,0.120868,0.88309
0.059633,0.097861,0.029415,0.050172,0.11051,0.11524,0.091909,0.0406098,0.26055
0.046724,0.082985,0.022865,0.046765,0.046497,0.03602,0.022289,0.00121748,0.0088272
0.01308,0.031681,0.0063809,0.012469,0.018487,0.0075412,0.0048145,0.0267344,0.17535
0.029366,0.055312,0.014574,0.025188,0.037294,0.027743,0.013857,0.0315106,0.23681
0.068987,0.19586,0.037754,0.064941,0.19459,0.1643,0.11193,0.198858,1.3577
0.15796,0.24919,0.0754,0.11938,0.30567,0.32453,0.24711,0.0890252,0.32709
0.020557,0.074537,0.010567,0.025232,0.072446,0.037187,0.011484,0.136389,1.2799
0.047716,0.094001,0.024522,0.045015,0.064493,0.04783,0.024027,0.0530904,0.26267
0.026353,0.1603,0.016279,0.03246,0.11771,0.053095,0.01198,0.347314,1.536
0.047084,0.22141,0.017708,0.039925,0.19016,0.13221,0.080099,0.2684,1.8602
0.087059,0.22099,0.038952,0.085104,0.2153,0.16636,0.099983,0.162844,1.0182
0.10971,0.17007,0.050697,0.092027,0.19774,0.20684,0.14119,0.0279246,0.096718
0.061179,0.15722,0.030358,0.060422,0.11608,0.067358,0.027965,0.195162,0.86226
0.062664,0.14629,0.033237,0.055221,0.14835,0.13724,0.087328,0.153472,1.2056
0.046967,0.20713,0.025239,0.047686,0.14713,0.083431,0.03272,0.243232,1.4109
0.13685,0.26821,0.074226,0.11797,0.28362,0.25287,0.19907,0.145376,0.96699
0.053349,0.10726,0.026348,0.054124,0.063279,0.045963,0.02652,0.0372768,0.24345
0.043323,0.13754,0.020865,0.038301,0.13213,0.10082,0.052459,0.0985138,0.78806
0.05887,0.14824,0.028958,0.059085,0.15121,0.12784,0.079967,0.133023,0.74394
0.13572,0.18839,0.072701,0.10366,0.24346,0.27526,0.22276,0.0211882,0.13104
0.045925,0.15452,0.022529,0.043614,0.14295,0.11355,0.064914,0.160864,1.4832
0.015217,0.037325,0.0067296,0.017947,0.030862,0.019421,0.0072301,0.0460537,0.29724
0.078042,0.20912,0.042916,0.069128,0.21022,0.17904,0.14041,0.188628,1.2204
